node,x,y
1026,-873.344788,-811.220825
5763,-950.398071,-953.380920
622,45.475204,244.772614
5307,997.886963,-581.315125
3502,769.174210,-521.158752
2090,1040.475342,-598.466187
1847,1058.225098,-576.909119
2794,-82.384506,231.214661
4838,-601.105867,-811.432020
2988,-600.813110,-717.600708
2162,-1045.814941,-622.619263
1393,-1092.922241,-480.159149
5456,-1056.873535,-503.223267
5513,-680.324707,961.926819
5485,-1348.378540,704.591858
5873,-881.912062,-578.378201
2709,-1070.356711,-514.481276
228,-1142.845459,-580.683167
3948,-1117.440552,-589.976746
4130,-1134.135742,-549.374695
4150,-1108.153442,-595.855164
739,1365.679199,-445.823730
3283,-1071.442871,-673.504517
259,1086.878906,-319.277466
1525,982.120239,-474.772400
2337,985.074341,-434.701691
4182,974.530884,-636.348389
5901,1026.938843,-435.503967
4696,1107.028931,-561.780518
818,1152.154419,-542.252197
1460,938.084534,-628.653381
725,1044.794922,-443.991669
2095,1296.326172,-780.365051
2421,-1311.032593,-570.656250
1480,958.388030,-919.304628
2294,62.371644,-48.276644
4089,-675.429504,-629.890137
5294,-117.044022,-360.527130
689,164.570862,1255.010620
3032,1027.835327,-546.810059
4593,1013.122803,-504.130554
1182,1023.526855,-567.799500
5636,1006.478271,-881.435852
5494,1019.546387,-658.759277
6051,1012.077377,-580.736887
829,1145.746338,-586.040100
5665,962.622375,-578.040710
4456,1049.496826,-821.562805
2395,817.318848,-588.806091
3953,1001.356201,-439.328308
209,1118.894653,-637.398315
2935,1068.760010,-653.045105
4587,1174.816772,-961.792969
5953,-1109.899536,-1421.065063
6118,1021.555788,-571.560139
1153,1017.781616,-597.437195
5228,976.569336,-947.834900
4459,1115.485718,-606.832275
1222,-674.754700,-1437.417114
2052,445.145203,1378.507568
5038,611.936890,-1623.843262
3865,-4.000885,-1236.768188
5375,1437.957642,229.063889
4674,-1515.393311,65.805191
1019,-718.478149,23.174816
3650,383.674896,-359.385498
3289,-1015.149292,-491.013245
3876,1174.673096,-1080.571045
1604,-278.828674,-1607.094727
2210,-1101.125732,946.467957
4853,803.260681,-599.736755
1505,1288.052612,-977.562744
6007,-1481.635864,636.105286
4610,83.387245,92.617157
2770,1098.315063,680.245239
474,-385.437699,321.709663
2687,544.049316,614.989868
4317,138.517731,900.799683
2050,323.752502,-35.451191
3454,-976.548645,-825.759644
1162,-757.068542,-1062.484741
3867,233.815979,-881.245483
511,-1694.843140,-492.901245
6210,-1093.110352,760.374023
1343,735.385010,742.062622
3368,1281.618408,-867.467651
5206,720.419800,241.886749
1617,625.741760,-1621.781250
5148,-1409.615845,-865.189026
2109,-1694.014526,23.778244
3748,-1537.511108,-465.537445
5055,-114.847137,-1778.158813
2332,496.948120,406.961426
1560,614.526672,98.732704
4609,504.148987,147.529480
4226,551.828186,169.742172
4971,658.119019,145.393051
3710,491.710205,70.178574
6092,618.856995,153.988846
2453,614.555054,138.261581
1546,375.178375,1015.066528
3722,67.534576,816.706726
2769,-828.506362,-109.818971
464,1188.428101,-1073.052490
3068,62.257583,-728.774627
1912,-9.304163,-436.110980
1394,122.098129,1197.133789
3972,1290.158203,-770.483887
2065,-1584.057739,-785.654846
4764,-1048.210449,1082.950562
6201,0.456081,1327.051514
1934,1018.340942,945.862000
2423,728.993896,1312.713257
4550,-1063.776978,-1040.423828
2715,-761.956614,-244.495056
3740,71.580330,-1503.359497
4980,1386.251709,-198.262650
